errorNum	errorId	userId	filename	errorType	delay	row	occurredTimestamp	displayedTimestamp	solvedTimestamp	detailFirstOpenedTimestamp	detailLastOpenedTimestamp	solved	displayed	detailOpened	errorDuration	displayedDuration	classActiveDuration	firstDetailToSolvedDuration	lastDetailToSolvedDuration	detailOpenedDelay	updatedCount	setCursorCount	detailOpenedCount	classActivatedCount
2784	1948602079	0_21_93_34_27_2_16	Pit.java	field is never used	60000	22	1518776207687	0	1518776208192	0	0	true	false	false	505	0	505	0	0	0	1	0	0	1
1760	2086843138	52_23_21_52_18_38_15	GameManager.java	field is never used	60000	25	1518705140433	0	1518705141457	0	0	true	false	false	1024	0	1024	0	0	0	1	0	0	1
1003	590770395	24_102_38_44_102_75_15	GameManager.java	if statement has empty body	15000	66	1518688989557	1518689004557	1518689062395	0	0	true	true	false	72838	57838	72838	0	0	0	5	0	0	1
3578	-2108953229	0_21_93_34_43_0_16	Pit.java	field is never used	60000	15	1518774027840	0	1518774028574	0	0	true	false	false	734	0	734	0	0	0	1	0	0	1
358	-831748455	0_21_93_34_34_0_15	Pit.java	field is never used	60000	12	1518688218610	0	1518688219477	0	0	true	false	false	867	0	867	0	0	0	1	0	0	1
1474	10705343	24_102_38_44_98_14_15	Pit.java	field is never used	60000	7	1518687438716	1518687498716	1518687520607	0	0	true	true	false	81891	21891	81891	0	0	0	1	0	0	1
1473	1354777055	24_102_38_44_98_14_15	Pit.java	field is never used	60000	6	1518687388003	1518687448003	1518687506856	1518687488064	1518687488064	true	true	true	118853	58853	118853	18792	18792	0	1	0	1	1
3576	-2108953229	0_21_93_34_43_0_16	Pit.java	field is never used	60000	7	1518773997544	0	1518773998296	0	0	true	false	false	752	0	752	0	0	0	1	0	0	1
3841	-1925610720	0_21_93_34_47_0_16	Pit.java	variable is never used	60000	28	1518775268784	0	1518775269611	0	0	true	false	false	827	0	827	0	0	0	1	0	0	1
5029	1418284483	52_23_21_52_22_61_16	Pit.java	field is never used	60000	2	1518787875833	0	1518787876349	0	0	true	false	false	516	0	516	0	0	0	1	0	0	1
1002	590770395	24_102_38_44_102_75_15	GameManager.java	if statement has empty body	15000	66	1518688933498	1518688948498	1518688988466	0	0	true	true	false	54968	39968	54968	0	0	0	3	0	0	1
4723	265018315	52_23_21_52_18_103_16	Config.java	field is never used	60000	41	1518787049899	1518788359851	0	0	0	false	true	false	3974616	491753	551753	0	0	0	1	0	0	45
2958	-176475840	0_21_93_34_30_0_16	GameManager.java	variable is never used	60000	59	1518776859175	0	1518776860479	0	0	true	false	false	1304	0	1304	0	0	0	1	0	0	1
2411	1464601235	52_23_21_52_26_34_15	Pit.java	parameter is never used	30000	11	1518704350553	1518704563763	1518704586358	0	0	true	true	false	235805	22595	52595	0	0	0	1	0	0	3
4234	861779862	24_102_38_44_102_75_16	ScoreBoard.java	parameter is never used	30000	11	1518774798447	0	1518774800010	0	0	true	false	false	1563	0	1563	0	0	0	1	0	0	1
341	756110847	0_21_93_34_34_0_15	Pit.java	field is never used	60000	5	1518688007503	0	1518688008472	0	0	true	false	false	969	0	969	0	0	0	1	0	0	1
5479	1288080511	52_23_21_52_32_13_16	Pit.java	field is never used	60000	31	1518788613787	0	1518788614944	0	0	true	false	false	1157	0	1157	0	0	0	1	0	0	1
4344	1296453971	24_102_38_44_103_59_16	Pit.java	parameter is never used	30000	9	1518774623977	0	1518774624446	0	0	true	false	false	469	0	469	0	0	0	1	0	0	1
831	-922110542	0_21_93_34_47_0_15	GameManager.java	variable is never used	60000	62	1518688622044	0	1518688622607	0	0	true	false	false	563	0	563	0	0	0	1	0	0	1
3656	-768862882	0_21_93_34_43_0_16	GameManager.java	statement expected	60000	68	1518776224457	0	1518776225348	0	0	true	false	false	891	0	891	0	0	0	1	0	0	1
3655	-768862882	0_21_93_34_43_0_16	GameManager.java	statement expected	60000	68	1518776193136	0	1518776223567	0	0	true	false	false	30431	0	30431	0	0	0	2	0	0	1
5441	722431521	52_23_21_52_32_13_16	Config.java	field is never used	60000	32	1518787045904	1518787875483	0	0	0	false	true	false	3153745	120623	180623	0	0	0	1	0	0	13
1489	10705343	24_102_38_44_98_14_15	Pit.java	field is never used	60000	8	1518687620076	1518687732092	1518687904267	0	0	true	true	false	284191	119341	179341	0	0	0	2	0	0	14
2485	2074849331	52_23_21_52_32_13_15	Pit.java	parameter is never used	30000	5	1518702339280	0	1518702339820	0	0	true	false	false	540	0	540	0	0	0	1	0	0	1
2033	-162215872	52_23_21_52_22_61_15	GameManager.java	variable is never used	60000	42	1518703957868	0	1518703958692	0	0	true	false	false	824	0	824	0	0	0	1	0	0	1
2648	-896417966	52_23_21_52_33_116_15	Pit.java	variable is never used	60000	42	1518705050350	0	1518705050749	0	0	true	false	false	399	0	399	0	0	0	1	0	0	1
299	-504398622	0_21_93_34_33_0_15	Pit.java	field is never used	60000	4	1518687773770	0	1518687775081	0	0	true	false	false	1311	0	1311	0	0	0	1	0	0	1
2663	1577130975	52_23_21_52_80_65_15	Pit.java	field is never used	60000	8	1518702121167	0	1518702132168	0	0	true	false	false	11001	0	11001	0	0	0	1	0	0	1
1795	117804000	52_23_21_52_19_45_15	Pit.java	variable is never used	60000	7	1518702422178	0	1518702423009	0	0	true	false	false	831	0	831	0	0	0	1	0	0	1
1820	-2103538209	52_23_21_52_19_45_15	Pit.java	field is never used	60000	6	1518702658276	1518702718276	1518702811144	0	0	true	true	false	152868	92868	152868	0	0	0	1	0	0	1
2676	-734518601	52_23_21_52_80_65_15	Pit.java	field is never used	60000	10	1518702393623	0	1518702424616	0	0	true	false	false	30993	0	30993	0	0	0	1	0	0	1
1308	558349971	24_102_38_44_51_44_15	Pit.java	parameter is never used	30000	9	1518687748496	0	1518687748980	0	0	true	false	false	484	0	484	0	0	0	1	0	0	1
3633	1299591409	0_21_93_34_43_0_16	Pit.java	field is never used	60000	12	1518775062870	1518775141283	1518775281677	0	0	true	true	false	218807	140394	200394	0	0	0	1	0	0	2
4863	1907764427	52_23_21_52_18_38_16	Ground.java	parameter is never used	30000	13	1518790314204	0	1518790338675	0	0	true	false	false	24471	0	24471	0	0	0	1	0	0	1
4552	-1012407841	24_102_38_44_43_62_16	GameManager.java	field is never used	60000	69	1518775155497	0	1518775155919	0	0	true	false	false	422	0	422	0	0	0	1	0	0	1
1735	86908142	52_23_21_52_18_38_15	PitListener.java	field is never used	60000	4	1518703771103	0	1518703772275	0	0	true	false	false	1172	0	1172	0	0	0	1	0	0	1
929	-1593882667	0_21_93_34_49_0_15	GameManager.java	statement expected	60000	67	1518688877522	0	1518688881578	0	0	true	false	false	4056	0	4056	0	0	0	1	0	0	1
2931	509581953	0_21_93_34_30_0_16	Config.java	field is never used	60000	33	1518775291737	0	0	0	0	false	false	false	384631	0	11210	0	0	0	1	0	0	2
5551	1910732813	52_23_21_52_32_13_16	GameManager.java	parameter is never used	30000	86	1518791471468	0	1518791473039	0	0	true	false	false	1571	0	1571	0	0	0	1	0	0	1
4248	861779862	24_102_38_44_102_75_16	ScoreBoard.java	parameter is never used	30000	11	1518774858610	0	1518774859094	0	0	true	false	false	484	0	484	0	0	0	1	0	0	1
5165	-1860024808	52_23_21_52_23_106_16	Pit.java	field is never used	60000	12	1518788136270	0	1518788137229	0	0	true	false	false	959	0	959	0	0	0	1	0	0	1
5769	772616392	52_23_21_52_80_65_16	Pit.java	field is never used	60000	46	1518790031907	0	1518790032297	0	0	true	false	false	390	0	390	0	0	0	1	0	0	1
42	1274707315	0_21_93_34_24_0_15	Pit.java	field is never used	60000	29	1518688249161	0	1518688249692	0	0	true	false	false	531	0	531	0	0	0	1	0	0	1
1951	-1009794913	52_23_21_52_19_92_15	Pit.java	field is never used	60000	9	1518704608608	0	1518704610045	0	0	true	false	false	1437	0	1437	0	0	0	1	0	0	1
2946	-1877699174	0_21_93_34_30_0_16	GameManager.java	variable is never used	60000	72	1518776167271	0	1518776175170	0	0	true	false	false	7899	0	7899	0	0	0	1	0	0	1
4404	-1067244721	24_102_38_44_41_57_16	Config.java	field is never used	60000	29	1518772371148	1518773648091	0	0	0	false	true	false	2207375	218561	278561	0	0	0	1	0	0	8
2340	575943106	52_23_21_52_26_34_15	Pit.java	field is never used	60000	5	1518703184414	0	1518703184896	0	0	true	false	false	482	0	482	0	0	0	1	0	0	1
3429	-2090065405	0_21_93_34_40_0_16	GameManager.java	field is never used	60000	24	1518774025808	0	1518774027183	0	0	true	false	false	1375	0	1375	0	0	0	1	0	0	1
3423	-706128993	0_21_93_34_40_0_16	Config.java	field is never used	60000	30	1518773534484	0	0	0	0	false	false	false	447119	0	39059	0	0	0	1	0	0	2
3888	1658908629	0_21_93_34_47_0_16	GameManager.java	field is never used	60000	25	1518776177067	0	1518776177892	0	0	true	false	false	825	0	825	0	0	0	1	0	0	1
1986	-596064315	52_23_21_52_22_61_15	Pit.java	field is never used	60000	6	1518702173507	0	1518702174002	0	0	true	false	false	495	0	495	0	0	0	1	0	0	1
18	1934904781	0_21_93_34_24_0_15	Pit.java	parameter is never used	30000	9	1518687880301	0	1518687889302	0	0	true	false	false	9001	0	9001	0	0	0	1	0	0	1
1647	2008565183	52_23_21_52_18_111_15	GameManager.java	field is never used	60000	56	1518703312813	0	1518703314563	0	0	true	false	false	1750	0	1750	0	0	0	1	0	0	1
4886	1412779373	52_23_21_52_18_83_16	JumpAndRun.java	variable is never used	60000	71	1518786265595	0	1518786290331	0	0	true	false	false	24736	0	24736	0	0	0	1	0	0	1
1808	-1343680766	52_23_21_52_19_45_15	Pit.java	field is never used	60000	6	1518702505148	0	1518702524584	0	0	true	false	false	19436	0	19436	0	0	0	2	0	0	1
4626	102433272	24_102_38_44_98_14_16	GameManager.java	field is never used	60000	33	1518775607578	1518775667578	0	0	0	false	true	false	1368749	376826	436826	0	0	0	4	0	0	3
1817	-2103538209	52_23_21_52_19_45_15	Pit.java	field is never used	60000	6	1518702580911	0	1518702612461	0	0	true	false	false	31550	0	31550	0	0	0	3	0	0	1
2435	544023135	52_23_21_52_32_122_15	Pit.java	field is never used	60000	7	1518703363664	0	1518703365012	0	0	true	false	false	1348	0	1348	0	0	0	1	0	0	1
3703	1693401674	0_21_93_34_44_0_16	Pit.java	cannot return a value from a method with void result type	15000	28	1518774482853	0	1518774485082	0	0	true	false	false	2229	0	2229	0	0	0	1	0	0	1
2070	-2132869933	52_23_21_52_23_106_15	Pit.java	parameter is never used	30000	9	1518702802958	0	1518702803911	0	0	true	false	false	953	0	953	0	0	0	1	0	0	1
5210	1222422241	52_23_21_52_24_80_16	Config.java	field is never used	60000	28	1518786614537	1518787102308	0	0	0	false	true	false	880864	150750	210750	0	0	0	1	0	0	5
5613	1406855475	52_23_21_52_33_116_16	Pit.java	field is never used	60000	12	1518788297926	0	1518788298613	0	0	true	false	false	687	0	687	0	0	0	1	0	0	1
3476	-105947329	0_21_93_34_40_0_16	GameManager.java	field is never used	60000	79	1518775229435	0	1518775231889	0	0	true	false	false	2454	0	2454	0	0	0	1	0	0	1
4464	590770395	24_102_38_44_41_57_16	GameManager.java	if statement has empty body	15000	92	1518776456164	1518776471164	0	0	0	false	true	false	119335	76986	91986	0	0	0	2	0	0	3
2260	1478928577	52_23_21_52_25_127_15	Config.java	field is never used	60000	31	1518701904821	1518702583895	0	0	0	false	true	false	824632	62222	122222	0	0	0	1	0	0	5
5590	-1215536545	52_23_21_52_33_116_16	Pit.java	field is never used	60000	13	1518788096362	0	1518788096753	0	0	true	false	false	391	0	391	0	0	0	1	0	0	1
2158	1299591409	52_23_21_52_24_80_15	Pit.java	field is never used	60000	6	1518702030329	0	1518702076684	0	0	true	false	false	46355	0	46355	0	0	0	1	0	0	1
4056	1222422241	0_21_93_34_55_0_16	Config.java	field is never used	60000	28	1518773677244	0	0	0	0	false	false	false	1733660	0	48389	0	0	0	1	0	0	5
1518	-15011373	24_102_38_44_98_14_15	Pit.java	parameter is never used	30000	10	1518687751838	0	1518687752681	0	0	true	false	false	843	0	843	0	0	0	1	0	0	1
1798	-896417966	52_23_21_52_19_45_15	Pit.java	variable is never used	60000	7	1518702424905	0	1518702425402	0	0	true	false	false	497	0	497	0	0	0	1	0	0	1
2173	1328239679	52_23_21_52_24_80_15	Pit.java	field is never used	60000	5	1518702196619	1518702256619	1518702262301	0	0	true	true	false	65682	5682	65682	0	0	0	1	0	0	1
5682	695699714	52_23_21_52_33_116_16	Pit.java	field is never used	60000	39	1518789643385	0	1518789645513	0	0	true	false	false	2128	0	2128	0	0	0	1	0	0	1
3853	1852797428	0_21_93_34_47_0_16	Pit.java	variable is never used	60000	32	1518775363282	0	1518775363758	0	0	true	false	false	476	0	476	0	0	0	1	0	0	1
2764	-289558393	0_21_93_34_27_2_16	GameManager.java	field is never used	60000	54	1518776054433	0	1518776055996	0	0	true	false	false	1563	0	1563	0	0	0	1	0	0	1
